num,content
1,我要建一个“我们十个战队真厉害！”的楼[打call][打call]
2,想到了黑马年年有决赛看狼抖的时代
3,我高中时候就喜欢的up主在画ivl😱😱
4,咱小奇迹就是这样萌萌的1，祖上出萌1来的[昼夜长梦动态表情包_开心][昼夜长梦动态表情包_开心][昼夜长梦动态表情包_开心]
5,年年喷ivl，年年看ivl的我[微笑]
6,感觉很细节的一点，因为wbg是人尽皆知的i人战队，所以wbg是十个队拟里看起来最文静的一个[星星眼]（果壳这个魔丸不算）
7,诶，tbd是什么战队啊？我不怎么看比赛，所以没听过。
8,卧糟这个呆鸟居然能这么的帅吗[doge]老师太厉害了👍
9,嗯对神秘粉色皇冠和神秘黄色皇冠99嗯对我支持小奇迹当一[星星眼]
10,mrc还有小猫爪耳饰诶！请支持我们UU！
11,哎我去都长得好爽啊，这个wbg更是帅我一大跳
12,OMG老师加不加我们IVL队拟群！！！
13,"看捞人吃得最好的一集。
我的天哪好帅啊。
椒这个墨镜好意外，第一眼差点没认出来，但是好帅啊。
积这个是参考的之前深渊夺冠皮破轮昆虫那个吧，红发红瞳真的酷。
抖这个电视壳子里有人脸的形象在ivl队拟里挺新颖的，一般好像直接设计成蓝长发的比较多。（还有耳机幻视成人鱼那个鱼鳍了）
溯宝出来的一瞬间美我一大跳！
小奇这个皇冠大披风，you're king！ψ(｀∇´)ψ
都好漂亮都好帅，而且也巧妙的融入了不少队伍元素，好几个没见过的队拟设计。
还有最强战队TBD！我是TBD战队十年老粉啊！｡ﾟ(ﾟ´Д｀)ﾟ｡（bushi）"
14,奇杂就这样昂首挺胸出现[打call]
15,捞你要越来越好啊
16,小奇 1中之1 1中之王 1中的统治者
17,这个TBD太强了，年年锁定冠亚，年年弃赛
18,想问一下，那个蓝色电视机是哪个战队？（用词不当sorry)
19,@Kalalyain 诡秘我喜欢这个 我们九个战队真厉害[星星眼][星星眼]
20,椒椒的猛男粉[打call][打call]
21,帅死我了@离绛沅露 @林念月- @宁琳念林年恋怜莲捻 @y月见影 @丰饶莳穗 @旺仔牛奶加红茶 @羽䒫不是带鱼 @白黎君
22,依稀记得名鸽看捞已经好几年了，没想到会画队拟，真帅啊帅得都不认识了，mrc我就笑纳啦，呆鸟我就笑纳啦，wbg我就笑纳啦，抖五我就笑纳啦😋😋
23,@文轩数言 @路过路过ovo
24,@千颂绘梨衣 @MADAO的奇妙冒险 @穿背带裤的地球 @ziangQwQ 帅的不行[给心心]
25,@春雾听泉 @枫原万叶的皮鼓 @叅莯也可以是木木木 @雾子枭 @阿晚iw 我们十个战队真厉害[脱单doge]
26,@King小琳 太帅了[鼓掌]
27,@夏沫游鳞 @方块君在回想 @予白以告 @Windwhite @气泡水-ovo-
28,@猫有多胖 好热血我出来了
29,@d加拿大鹅b
30,我们十支战队真厉害！
31,这个鸟为什么看起来很好嬷的样子
32,終於有人畫我喜歡的戰隊TRD了，啊啊啊啊老師我喜歡你
33,@可阂 这个帅帅的[保卫萝卜_笔芯]
34,小奇白切黑我喜[星星眼][星星眼]
35,我们九个战队真厉害[无限暖暖_毛线汪汪][无限暖暖_毛线汪汪]
36,我们就是奇迹！！mrc深渊加油！！
37,哎哟我去博粉晕倒了。女神你咋这么会画 最喜欢的一个是我主推的救赎感
38,@柑橘炸鱼
39,@楚江坼樾
40,hhhhhhhhh还有经典的tbd退赛环节
